Date,Open,High,Low,Close,Adj Close,Volume,^NDXT_Close,QTEC_Close,^SP500-45_Close
2007-01-03,232.12991333007812,237.4400177001953,229.6940460205078,232.9219512939453,232.9219512939453,15470772,1075.9100341796875,19.989999771118164,357.4200134277344
2007-01-04,233.6243133544922,241.0714111328125,233.300537109375,240.72769165039062,240.72769165039062,15834329,1097.0799560546875,20.3799991607666,363.7900085449219
2007-01-05,240.34910583496094,242.83978271484375,238.1623077392578,242.6853485107422,242.6853485107422,13795717,1090.9300537109375,20.290000915527344,361.489990234375
2007-01-08,242.93441772460938,244.02035522460938,240.19967651367188,240.88710021972656,240.88710021972656,9544441,1093.43994140625,20.3700008392334,362.3500061035156
2007-01-09,241.818603515625,243.21337890625,239.7015380859375,241.843505859375,241.843505859375,10803142,1096.3599853515625,20.450000762939453,364.0799865722656
2007-01-10,241.31051635742188,245.85348510742188,240.11996459960938,243.8161163330078,243.8161163330078,11981743,1110.6600341796875,20.700000762939453,366.489990234375
2007-01-11,247.67166137695312,249.93817138671875,247.16357421875,248.9269561767578,248.9269561767578,14470436,1119.1800537109375,20.81999969482422,369.54998779296875
2007-01-12,250.05772399902344,251.55709838867188,249.06643676757812,251.55709838867188,251.55709838867188,8980937,1122.550048828125,20.90999984741211,371.3800048828125
2007-01-16,252.8273468017578,255.5421600341797,250.7102813720703,251.1984405517578,251.1984405517578,15194540,1113.43994140625,20.75,370.1000061035156
2007-01-17,250.75511169433594,252.9369354248047,246.26693725585938,247.71151733398438,247.71151733398438,13448420,1104.0699462890625,20.579999923706055,365.3399963378906
2007-01-18,246.336669921875,247.31300354003906,242.80490112304688,243.00416564941406,243.00416564941406,11908469,1070.050048828125,19.940000534057617,358.8399963378906
2007-01-19,243.07888793945312,244.46368408203125,242.46119689941406,243.9605712890625,243.9605712890625,9993920,1072.989990234375,20.010000228881836,358.760009765625
2007-01-22,245.3304443359375,245.40516662597656,238.35658264160156,239.522216796875,239.522216796875,10849113,1062.030029296875,19.780000686645508,355.6199951171875
2007-01-23,239.49729919433594,241.46990966796875,237.75384521484375,238.63055419921875,238.63055419921875,9365975,1062.3499755859375,19.780000686645508,354.6700134277344
2007-01-24,241.32046508789062,248.83729553222656,240.7426300048828,248.60317993164062,248.60317993164062,12164023,1087.030029296875,20.229999542236328,360.8699951171875
